,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,25.67,49.66,6.39,20.96,35.81,43.76,34.21,49.8,47.27,0.5874,18.86,50.28,1.33,4.98,34.09,42.83,33.7,34.38,60.43,0.5515
split 1,23.18,50.42,7.22,11.89,35.33,44.25,34.28,51.29,47.17,0.5907,17.83,50.78,0.0,2.73,33.8,25.59,34.03,0.0,42.74,0.4794
split 2,30.7,51.22,9.36,31.51,38.76,47.52,36.14,57.94,48.46,0.5992,25.77,46.04,1.26,30.03,33.54,28.88,33.61,19.05,33.98,0.5215
split 3,29.57,50.65,9.87,28.18,37.8,44.13,35.55,48.48,48.35,0.5915,27.83,47.39,14.1,22.0,34.62,36.89,33.74,40.18,36.74,0.56
split 4,28.13,50.21,4.43,29.76,37.4,48.59,35.04,61.71,49.03,0.5898,21.62,48.84,0.0,16.01,32.84,20.34,33.92,0.0,27.1,0.5284
split 5,25.29,50.54,6.13,19.18,36.24,45.13,34.6,48.51,52.28,0.5911,20.58,49.35,5.58,6.82,33.3,31.75,33.59,24.0,37.65,0.4999
mean,27.09,50.45,7.23,23.58,36.89,45.56,34.97,52.96,48.76,0.5916,22.08,48.78,3.71,13.76,33.7,31.05,33.76,19.6,39.78,0.5234
std,2.61,0.47,1.88,6.89,1.2,1.84,0.7,5.07,1.71,0.0037,3.59,1.63,5.01,9.87,0.57,7.33,0.16,15.44,10.36,0.0278
