,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5791,0.0,50.0,0.0,0.4573
split 1,0.0,50.0,0.0,0.5216,0.0,50.0,0.0,0.4961
split 2,0.0,50.0,0.0,0.5503,0.0,50.0,0.0,0.5484
split 3,0.0,50.0,0.0,0.5431,0.0,50.0,0.0,0.4998
split 4,0.0,50.0,0.0,0.5287,0.0,50.0,0.0,0.4866
split 5,0.0,50.0,0.0,0.5394,0.0,50.0,0.0,0.5024
mean,0.0,50.0,0.0,0.5437,0.0,50.0,0.0,0.4984
std,0.0,0.0,0.0,0.0184,0.0,0.0,0.0,0.0269
