,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,65.13,65.75,66.33,0.7225,62.4,66.35,70.7,0.7427
split 1,63.13,66.69,70.69,0.7374,64.42,64.86,65.23,0.6920000000000001
split 2,72.69,67.1,62.13,0.7492,69.88,66.61,63.65,0.7099
split 3,68.41,68.03,67.61,0.7305,75.99,71.04,64.9,0.7851
split 4,66.85,66.24,65.66,0.7196,73.04,71.54,69.39,0.8038
split 5,71.19,65.04,60.54,0.7299,69.03,60.74,57.0,0.7192
mean,67.9,66.47,65.49,0.7315,69.13,66.86,65.14,0.7421
std,3.31,0.96,3.37,0.0098,4.66,3.68,4.43,0.0403
testing,64.71,66.18,67.64,0.7291,63.25,65.01,66.6,0.7181
