,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.6005,0.0,50.0,0.0,0.4729
split 1,0.0,50.0,0.0,0.582,0.0,50.0,0.0,0.4582
split 2,0.0,50.0,0.0,0.5667,0.0,50.0,0.0,0.5183
split 3,0.0,50.0,0.0,0.5736,0.0,50.0,0.0,0.4932
split 4,0.0,50.0,0.0,0.563,0.0,50.0,0.0,0.5138
split 5,0.0,50.0,0.0,0.5775,0.0,50.0,0.0,0.4783
mean,0.0,50.0,0.0,0.5772,0.0,50.0,0.0,0.4891
std,0.0,0.0,0.0,0.0122,0.0,0.0,0.0,0.0216
