,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.4735,0.0,50.0,0.0,0.5421
split 1,0.0,50.0,0.0,0.4989,0.0,50.0,0.0,0.5649
split 2,0.0,50.0,0.0,0.505,0.0,50.0,0.0,0.5238
split 3,0.0,50.0,0.0,0.4798,0.0,50.0,0.0,0.5361
split 4,0.0,50.0,0.0,0.5172,0.0,50.0,0.0,0.4801
split 5,0.0,50.0,0.0,0.5161,0.0,50.0,0.0,0.4797
mean,0.0,50.0,0.0,0.4984,0.0,50.0,0.0,0.5211
std,0.0,0.0,0.0,0.0167,0.0,0.0,0.0,0.0316
test mean,0.0,49.99999999999999,0.0,0.4872458407018634,0.0,50.0,0.0,0.5100986365792232
test std,0.0,1.686185274042142e-14,0.0,0.059148065122804634,0.0,1.6473255640462455e-14,0.0,0.09637839191713356
