,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,28.22,49.58,4.13,30.95,36.96,44.95,35.0,55.27,44.58,0.6156,22.74,42.06,0.0,26.18,30.0,19.69,30.98,0.0,28.08,0.5368
split 1,25.34,50.9,2.47,22.66,36.4,43.41,35.05,48.66,46.52,0.6132,23.81,51.55,3.23,16.66,35.18,33.55,35.73,33.4,31.5,0.5225
split 2,31.55,51.47,18.22,24.97,38.96,47.2,36.15,55.38,50.06,0.6229,26.76,47.13,18.17,14.98,33.55,33.45,33.69,31.99,34.69,0.5171
split 3,25.95,51.2,4.74,21.9,36.77,53.05,35.26,78.63,45.26,0.6128,20.58,48.91,0.0,12.82,33.26,22.62,33.33,0.0,34.53,0.5514
split 4,23.26,50.58,6.01,13.18,35.5,45.68,34.38,54.6,48.06,0.6061,24.51,50.31,7.52,15.69,36.08,56.06,34.21,80.1,53.85,0.5693
split 5,28.55,50.45,7.09,28.12,37.43,48.98,35.33,66.06,45.53,0.6123,22.17,50.86,0.0,15.67,33.98,21.46,35.26,0.0,29.12,0.5611
mean,27.15,50.7,7.11,23.63,37.0,47.21,35.19,59.77,46.67,0.6138,23.43,48.47,4.82,17.0,33.68,31.14,33.86,24.25,35.3,0.543
std,2.66,0.61,5.17,5.61,1.06,3.14,0.53,9.87,1.88,0.005,1.94,3.21,6.55,4.27,1.91,12.45,1.54,28.95,8.66,0.0192
