plant,time point,cell,degree,weighted node degree,clustering coefficient,information centrality,betweenness centrality,eigenvector centrality,page rank,katz centrality,current flow betweenness centrality,communicability betweenness centrality,load centrality,harmonic centrality,size on 2 neighborhood,estrada index on 2 neighborhood,abs graph density on 2 neighborhood,rel graph density on 2 neighborhood,avg path length on 2 neighborhood,algebraic connectivity on 2 neighborhood,degree,weighted node degree,clustering coefficient,information centrality,betweenness centrality,eigenvector centrality,page rank,katz centrality,current flow betweenness centrality,communicability betweenness centrality,load centrality,harmonic centrality,size on 2 neighborhood,estrada index on 2 neighborhood,abs graph density on 2 neighborhood,rel graph density on 2 neighborhood,avg path length on 2 neighborhood,algebraic connectivity on 2 neighborhood,degree,weighted node degree,clustering coefficient,information centrality,betweenness centrality,eigenvector centrality,page rank,katz centrality,current flow betweenness centrality,communicability betweenness centrality,load centrality,harmonic centrality,size on 2 neighborhood,estrada index on 2 neighborhood,abs graph density on 2 neighborhood,rel graph density on 2 neighborhood,avg path length on 2 neighborhood,algebraic connectivity on 2 neighborhood,degree,weighted node degree,clustering coefficient,information centrality,betweenness centrality,eigenvector centrality,page rank,katz centrality,current flow betweenness centrality,communicability betweenness centrality,load centrality,harmonic centrality,size on 2 neighborhood,estrada index on 2 neighborhood,abs graph density on 2 neighborhood,rel graph density on 2 neighborhood,avg path length on 2 neighborhood,algebraic connectivity on 2 neighborhood
p4 FM1,0,21523,6.0,6.0,0.4,0.0112557339698601,0.0861227613277495,0.152150102774896,0.0079429668455884,0.0986985053379646,0.0994351934198769,0.1106611346060733,0.0848868874511827,36.43809523809522,44.0,218.74954731526392,0.231578947368421,4.4,2.363157894736842,0.7536257201119786,6.0,0.1833405146340055,0.2840171618810703,0.0002767988225246,0.0084989376327959,0.2000414333333327,0.0095258541021235,0.0986985053379646,0.1177608925458845,0.1106611346060733,0.0084989376327959,1515.5336850466433,44.0,218.74954731526392,0.231578947368421,4.4,0.0567146838182829,0.0176085457878499,6.0,1.841883286701314,0.016159178664622,0.0029512385463739,0.0044994375703037,7.729263567483844e-06,0.0078262750646519,0.0986985053379646,0.1291477219893404,0.1106611346060733,0.0044994375703037,153.71671393753763,44.0,218.74954731526392,0.231578947368421,4.4,0.5156878043077523,0.1589446778067842,6.0,0.909932308238497,0.1064585022254605,0.0015944552453554,0.0748656417947756,0.0162560587231032,0.0083936274409254,0.0986985053379646,0.1049610107047622,0.1106611346060733,0.0748656417947756,293.1741577378982,44.0,218.74954731526392,0.231578947368421,4.4,0.307259619124523,0.1038878329843463
p4 FM1,0,21527,6.0,6.0,0.4,0.0110640436298295,0.0392705444277335,0.1558979158750488,0.0079867851931707,0.0986694077899777,0.0892293597397885,0.0896750691048079,0.0384793480676026,35.74325396825399,45.0,235.49171617892657,0.2368421052631578,4.5,2.289473684210526,0.7963680216386143,6.0,0.1356733297740482,0.2322119265211495,0.000255735330879,0.0258717660292463,0.1272122959105358,0.0073374212819831,0.0986694077899777,0.0842864610246843,0.0896750691048079,0.0258717660292463,1677.4005247146226,45.0,235.49171617892657,0.2368421052631578,4.5,0.0511319481414822,0.0182564487914828,6.0,1.516543538399146,0.0172001568331599,0.0026726874283656,0.1071116110486189,1.308145204439953e-07,0.0068211357923361,0.0986694077899777,0.0717814493630401,0.0896750691048079,0.1071116110486189,189.27770404621643,45.0,235.49171617892657,0.2368421052631578,4.5,0.5053798660336384,0.1866908562102722,6.0,0.8149395042374885,0.0990429516552543,0.0015462617239076,0.0233720784901887,0.0348202067625784,0.0073535189844571,0.0986694077899777,0.0904390720012953,0.0896750691048079,0.0233720784901887,283.8246565480674,45.0,235.49171617892657,0.2368421052631578,4.5,0.2966762223653699,0.1061647431748983
p4 FM1,0,21528,7.0,7.0,0.3333333333333333,0.0114512005598212,0.0884324331615413,0.1545283065936158,0.0092238852015154,0.1055197496187165,0.1131839119468484,0.1204642872469803,0.0869561224712522,36.4515873015873,45.0,227.7017799696948,0.2368421052631578,4.5,2.336842105263158,0.7891285040417992,7.0,0.1360822815192003,0.1662226429461196,0.0002546033610645,0.1217347831521059,0.0676447826278992,0.0081609858468201,0.1055197496187165,0.1038615345614698,0.1204642872469803,0.1217347831521059,1843.885941522728,45.0,227.7017799696948,0.2368421052631578,4.5,0.0484975302363061,0.0173301541019419,7.0,1.7325400602181609,0.0113423027324018,0.0027951960991818,0.0962379702537182,9.05029491985403e-07,0.0082697014162199,0.1055197496187165,0.1110160573589348,0.1204642872469803,0.0962379702537182,187.85655126541988,45.0,227.7017799696948,0.2368421052631578,4.5,0.4755724753071011,0.1726559081547845,7.0,0.907312984629948,0.0796538359906054,0.0015801253333383,0.1242344706911636,0.0354030911656359,0.008156868491427,0.1055197496187165,0.1076541675779762,0.1204642872469803,0.1242344706911636,301.2787799609946,45.0,227.7017799696948,0.2368421052631578,4.5,0.2993091181586501,0.0966823159512381
p4 FM1,0,21536,5.0,5.0,0.5,0.0101779115197973,0.0247487943252516,0.1094083467762807,0.0069156327610882,0.0891239924862442,0.0655174877041495,0.0555294480778378,0.0256598193840738,34.09404761904766,39.0,193.58295236794368,0.2549019607843137,4.333333333333333,2.2287581699346406,0.81897273130537,5.0,0.1100756041242572,0.2518250452261418,0.0002276890297759,0.0,0.019097114954943,0.0071895261655125,0.0891239924862442,0.0692274904495825,0.0555294480778378,0.0,1659.2016993348095,39.0,193.58295236794368,0.2549019607843137,4.333333333333333,0.0414488345382853,0.0161719713837417,5.0,1.1000545548030227,0.0164923064818679,0.00243150915132,0.1024871891013623,9.405330102488938e-08,0.0056534380446841,0.0891239924862442,0.0619887647047155,0.0555294480778378,0.1024871891013623,179.2765003885201,39.0,193.58295236794368,0.2549019607843137,4.333333333333333,0.4391678323087747,0.166395713618785,5.0,0.7797126280872441,0.1355633088620366,0.0014591252431039,0.0042494688163979,0.0648075243887198,0.0068549847687815,0.0891239924862442,0.072283325524259,0.0555294480778378,0.0042494688163979,262.4039424364915,39.0,193.58295236794368,0.2549019607843137,4.333333333333333,0.2939989073440066,0.1147604944706361
p4 FM1,0,21602,6.0,6.0,0.4,0.0108205353869173,0.0555637875233631,0.1256619867211217,0.0081314929308136,0.0979490526811289,0.0963882079818762,0.0933219085257008,0.0571718467756474,35.06904761904766,44.0,220.03801563278097,0.231578947368421,4.4,2.3421052631578947,0.773285580912986,6.0,0.1718420357987092,0.2653922783426011,0.0002659154423103,0.0141232345956755,0.1679435240671329,0.0088013456151974,0.0979490526811289,0.1083942446725157,0.0933219085257008,0.0141232345956755,1388.0885871757052,44.0,220.03801563278097,0.231578947368421,4.4,0.0591403063711536,0.020220442667002,6.0,1.8828055906386167,0.0153723958521828,0.0027287797102612,0.0018747656542932,7.306050268803895e-07,0.0093807748487951,0.0979490526811289,0.1106843995164683,0.0933219085257008,0.0018747656542932,150.89857468141983,44.0,220.03801563278097,0.231578947368421,4.4,0.5144250021887233,0.1720060195172782,6.0,0.7734258529902718,0.0899058734977926,0.0014958918542204,0.0183727034120734,0.003304491634241,0.0078671127036521,0.0979490526811289,0.0995510875981336,0.0933219085257008,0.0183727034120734,278.25490888455704,44.0,220.03801563278097,0.231578947368421,4.4,0.2765584741513169,0.0959116912464776
p4 FM1,0,21603,7.0,7.0,0.3333333333333333,0.0115357784444774,0.149230866080383,0.1555164796028343,0.0091851394793082,0.108251472719644,0.1258290868701973,0.1555971103330357,0.153030494126602,37.28650793650792,51.0,258.8324186517538,0.2015810276679842,4.434782608695652,2.486166007905138,0.6226455381118916,7.0,0.1819744408831991,0.2152204304509291,0.0002774673186197,0.1624796900387451,0.2048784140283373,0.0091268562684813,0.108251472719644,0.1293651053665974,0.1555971103330357,0.1624796900387451,1539.627966190174,51.0,258.8324186517538,0.2015810276679842,4.434782608695652,0.0647494794629035,0.0164921637522708,7.0,2.133809764310941,0.0130235348972841,0.0029611420162142,0.0532433445819272,1.7085430264269813e-05,0.0098969618562239,0.108251472719644,0.1456722480815838,0.1555971103330357,0.0532433445819272,157.29522429457091,51.0,258.8324186517538,0.2015810276679842,4.434782608695652,0.5618895245150928,0.1551118420853638,7.0,0.8318696835532201,0.0733519409678673,0.0015535645340681,0.1742282214723159,0.0029141331898561,0.0084029986907609,0.108251472719644,0.116535683247938,0.1555971103330357,0.1742282214723159,325.25888402302314,51.0,258.8324186517538,0.2015810276679842,4.434782608695652,0.2955638996366935,0.0744424301039432
p4 FM1,0,21607,6.0,6.0,0.4,0.0108925597927865,0.0491926648446304,0.1330533086626686,0.0080349761181181,0.0976153469447259,0.0896873166574792,0.0849999164018741,0.0492199196189404,35.15317460317465,42.0,210.4399405783988,0.2456140350877193,4.421052631578948,2.2865497076023398,0.7510154652279268,6.0,0.1776977898829416,0.2855407338187676,0.0002692328552715,0.0383702037245344,0.208332473844696,0.0089370982768318,0.0976153469447259,0.1024854093803763,0.0849999164018741,0.0383702037245344,1398.4885712724165,42.0,210.4399405783988,0.2456140350877193,4.421052631578948,0.0616101427780033,0.0206298195813419,6.0,1.6313994803628231,0.0156643594053369,0.0027226655954537,0.0178727659042619,0.0001743711068041,0.0078407888408075,0.0976153469447259,0.0914521908394355,0.0849999164018741,0.0178727659042619,157.77150803691214,42.0,210.4399405783988,0.2456140350877193,4.421052631578948,0.52938265060088,0.1860699912411319,6.0,0.8055577138988317,0.0930514344242187,0.001511586771497,0.051368578927634,0.0026971854907841,0.0081322246623221,0.0976153469447259,0.0974152385177034,0.0849999164018741,0.051368578927634,295.2349800148543,42.0,210.4399405783988,0.2456140350877193,4.421052631578948,0.2780094687615762,0.0976596773663978
p4 FM1,0,21608,7.0,7.0,0.3333333333333333,0.0111964061706615,0.0934588470866896,0.1322673232521057,0.0093346300127782,0.1060411238371079,0.1143457303055312,0.1210020151083394,0.0933301661703938,35.87936507936513,47.0,238.4839473554792,0.2238095238095238,4.476190476190476,2.3857142857142857,0.704779581760587,7.0,0.1769217596382857,0.2151966113768395,0.0002660560756433,0.0579927509061367,0.1492363267806492,0.009314629707623,0.1060411238371079,0.1150477732188264,0.1210020151083394,0.0579927509061367,1543.2136530019527,47.0,238.4839473554792,0.2238095238095238,4.476190476190476,0.0595310793333355,0.017754918536387,7.0,2.029766899911785,0.0130311630780996,0.0027691197561051,0.077615298087739,0.0036363299971923,0.0093481183366163,0.1060411238371079,0.1193145956395821,0.1210020151083394,0.077615298087739,170.39978615391848,47.0,238.4839473554792,0.2238095238095238,4.476190476190476,0.5428684142612051,0.1617742805372967,7.0,0.8676210130433082,0.0744469103584796,0.00151782564641,0.0999875015623047,0.0018005823592273,0.0088388837599801,0.1060411238371079,0.1107255838166976,0.1210020151083394,0.0999875015623047,314.6519732477305,47.0,238.4839473554792,0.2238095238095238,4.476190476190476,0.2789053838071342,0.0829180347340253
p4 FM1,0,21612,6.0,6.0,0.4,0.0108796093243168,0.0571465898874877,0.1182332728976271,0.0081711236396914,0.0979029833866643,0.0989368778304605,0.0974846308485198,0.0547898833970985,35.02777777777783,44.0,219.9431451943066,0.231578947368421,4.4,2.3526315789473684,0.7466579650120222,6.0,0.138113304541398,0.2267270243234124,0.0002525046700656,0.0556180477440319,0.0929340954766981,0.0079740414532819,0.0979029833866643,0.0966676085878608,0.0974846308485198,0.0556180477440319,1600.8496836172044,44.0,219.9431451943066,0.231578947368421,4.4,0.0544868747562635,0.0168022531816227,6.0,1.6246453486088257,0.0141796362304132,0.0027309948345776,0.1229846269216347,0.0001696495102232,0.008109000342673,0.0979029833866643,0.1035348142895112,0.0974846308485198,0.1229846269216347,175.85360677423284,44.0,219.9431451943066,0.231578947368421,4.4,0.5100642620096005,0.1772244104206702,6.0,0.7470381315432648,0.0886726397405063,0.0014646992281759,0.0816147981502312,0.0034038129523056,0.0076383362907543,0.0979029833866643,0.0950198570297641,0.0974846308485198,0.0816147981502312,301.0134237477724,44.0,219.9431451943066,0.231578947368421,4.4,0.285797789556397,0.0937080004735474
p4 FM1,0,21620,4.0,4.0,0.6666666666666666,0.009422503396397,0.0036835215065135,0.098717255910002,0.0057193263818769,0.0804525973494614,0.0448575408096772,0.0302517428989595,0.0037742738272685,32.294841269841285,34.0,168.74347949081195,0.2833333333333333,4.25,2.075,0.966720971775755,4.0,0.1176894446046842,0.4459225558379585,0.0002353314494521,0.0,0.1162880927065196,0.0063380903474911,0.0804525973494614,0.0533389089632375,0.0302517428989595,0.0,1338.8384165524526,34.0,168.74347949081195,0.2833333333333333,4.25,0.0508227400068192,0.0237477171296748,4.0,0.7905146048686909,0.0226955644041012,0.0021466090792387,0.0808648918885139,1.4404415967612709e-08,0.004344325952056,0.0804525973494614,0.0310113675851112,0.0302517428989595,0.0808648918885139,171.1976183751466,34.0,168.74347949081195,0.2833333333333333,4.25,0.467367557614617,0.2369735308729739,4.0,0.7218917056478238,0.1853452984983727,0.0014146645463156,0.0,0.0275785023942386,0.006598574057101,0.0804525973494614,0.0585476058577922,0.0302517428989595,0.0,231.29679096275905,34.0,168.74347949081195,0.2833333333333333,4.25,0.2746560350620282,0.1293760166228759
p4 FM1,0,21621,7.0,7.0,0.3333333333333333,0.0113486346152617,0.1096455206072565,0.1639808339370284,0.0092494853651691,0.1066480382788634,0.1057607466360298,0.12081509136506,0.1134445887968992,36.709523809523816,47.0,248.1023580475155,0.2238095238095238,4.476190476190476,2.333333333333333,0.7669307831964488,7.0,0.1908776147479342,0.2190593898539667,0.0002729912950242,0.1172353455818022,0.1909976644937333,0.0096341891949893,0.1066480382788634,0.1146188339987958,0.12081509136506,0.1172353455818022,1587.5276937716185,47.0,248.1023580475155,0.2238095238095238,4.476190476190476,0.0568900724155163,0.0189960269314612,7.0,2.02114077064588,0.0126956638650557,0.0028400592711525,0.0268716410448693,7.415749670023702e-08,0.0094721456189944,0.1066480382788634,0.1095406229574408,0.12081509136506,0.0268716410448693,158.63133352926127,47.0,248.1023580475155,0.2238095238095238,4.476190476190476,0.548321374197337,0.1899984631571858,7.0,0.9500062262038304,0.0835498178899925,0.0015814068182511,0.1556055493063367,0.0227754404696121,0.008628934102778,0.1066480382788634,0.1050413902175722,0.12081509136506,0.1556055493063367,300.04611030757553,47.0,248.1023580475155,0.2238095238095238,4.476190476190476,0.2951435066866365,0.1020890048666117
