,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5699,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5193
split 1,18.66,50.23,5.74,0.0,34.06,30.45,33.64,57.7,0.0,0.5717,16.47,49.42,0.0,0.0,32.82,11.0,32.99,0.0,0.0,0.4774
split 2,18.75,50.09,4.96,1.2,33.91,50.89,33.59,44.13,74.96,0.5771,19.54,48.98,2.51,7.15,33.2,34.66,33.08,35.43,35.49,0.5113
split 3,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5749,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5189
split 4,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5728,16.72,50.15,0.0,0.0,33.33,11.16,33.47,0.0,0.0,0.5046
split 5,17.83,50.1,3.05,0.34,33.71,61.73,33.49,51.69,100.0,0.5646,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5769
mean,17.54,50.07,2.29,0.26,33.61,29.4,33.45,25.59,29.16,0.5718,17.12,49.76,0.42,1.19,33.23,15.03,33.26,5.91,5.91,0.5181
std,0.92,0.08,2.43,0.44,0.3,20.46,0.13,25.89,41.87,0.004,1.09,0.42,0.93,2.66,0.19,8.78,0.17,13.2,13.22,0.0299
