,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5698,0.0,50.0,0.0,0.5446
split 1,0.0,50.0,0.0,0.5557,0.0,50.0,0.0,0.5372
split 2,0.0,50.0,0.0,0.5738,0.0,50.0,0.0,0.5315
split 3,0.0,50.0,0.0,0.5519,0.0,50.0,0.0,0.5822
split 4,0.0,50.0,0.0,0.5472,0.0,50.0,0.0,0.5821
split 5,0.0,50.0,0.0,0.5815,0.0,50.0,0.0,0.4368
mean,0.0,50.0,0.0,0.5633,0.0,50.0,0.0,0.5357
std,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0486
