,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5594,0.0,50.0,0.0,0.5312
split 1,0.0,50.0,0.0,0.5512,0.0,50.0,0.0,0.5389
split 2,0.0,50.0,0.0,0.5634,0.0,50.0,0.0,0.4618
split 3,0.0,50.0,0.0,0.5503,0.0,50.0,0.0,0.5425
split 4,0.0,50.0,0.0,0.5477,0.0,50.0,0.0,0.489
split 5,0.0,50.0,0.0,0.5529,0.0,50.0,0.0,0.5089
mean,0.0,50.0,0.0,0.5542,0.0,50.0,0.0,0.512
std,0.0,0.0,0.0,0.0055,0.0,0.0,0.0,0.0291
