,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5078,0.0,50.0,0.0,0.5406
split 1,0.0,50.0,0.0,0.5145,0.0,50.0,0.0,0.4977
split 2,0.0,50.0,0.0,0.511,0.0,50.0,0.0,0.5491
split 3,0.0,50.0,0.0,0.5175,0.0,50.0,0.0,0.5011
split 4,0.0,50.0,0.0,0.5098,0.0,50.0,0.0,0.4646
split 5,0.0,50.0,0.0,0.5046,0.0,50.0,0.0,0.5111
mean,0.0,50.0,0.0,0.5109,0.0,50.0,0.0,0.5107
std,0.0,0.0,0.0,0.0042,0.0,0.0,0.0,0.0282
