,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,36.03,49.48,21.35,37.27,39.59,41.83,38.33,47.59,39.56,0.5837,32.98,40.36,38.67,19.91,35.0,35.15,34.89,34.93,35.62,0.5151
split 1,24.78,49.66,0.0,24.69,35.44,25.2,34.49,0.0,41.11,0.5723,24.55,47.37,0.0,26.28,34.23,24.32,33.13,0.0,39.83,0.5219
split 2,29.7,49.99,17.68,21.41,36.88,40.51,35.36,42.65,43.51,0.5748,21.09,50.91,8.84,3.53,35.0,49.75,34.36,42.93,71.96,0.5182
split 3,27.1,49.81,14.73,16.76,36.03,41.33,34.59,45.07,44.32,0.5708,24.73,48.69,0.0,25.5,34.43,22.93,34.45,0.0,34.32,0.5465
split 4,20.22,49.92,6.82,3.91,34.08,39.38,33.67,44.83,39.64,0.5672,20.05,50.92,0.0,9.24,34.68,26.24,34.29,0.0,44.44,0.539
split 5,24.82,50.51,1.8,22.13,36.13,49.31,34.67,65.48,47.78,0.5765,18.27,50.05,0.0,4.77,33.39,19.77,33.66,0.0,25.66,0.4584
mean,27.11,49.9,10.4,21.03,36.36,39.59,35.18,40.94,42.65,0.5742,23.61,48.05,7.92,14.87,34.45,29.69,34.13,12.98,41.97,0.5165
std,4.91,0.32,8.03,9.91,1.68,7.19,1.49,19.82,2.91,0.0052,4.79,3.66,14.13,9.41,0.55,10.14,0.57,18.5,14.58,0.0283
