plant,time point,cell,clustering coefficient,information centrality,eigenvector centrality,page rank,katz centrality,harmonic centrality,abs graph density on 2 neighborhood,rel graph density on 2 neighborhood,algebraic connectivity on 2 neighborhood,weighted node degree.1,clustering coefficient.1,information centrality.1,eigenvector centrality.1,page rank.1,katz centrality.1,current flow betweenness centrality.1,harmonic centrality.1,abs graph density on 2 neighborhood.1,rel graph density on 2 neighborhood.1,avg path length on 2 neighborhood.1,algebraic connectivity on 2 neighborhood.1,weighted node degree.2,clustering coefficient.2,information centrality.2,eigenvector centrality.2,page rank.2,katz centrality.2,current flow betweenness centrality.2,harmonic centrality.2,abs graph density on 2 neighborhood.2,rel graph density on 2 neighborhood.2,avg path length on 2 neighborhood.2,algebraic connectivity on 2 neighborhood.2,clustering coefficient.3,information centrality.3,betweenness centrality.3,eigenvector centrality.3,page rank.3,katz centrality.3,load centrality.3,harmonic centrality.3,abs graph density on 2 neighborhood.3,rel graph density on 2 neighborhood.3,algebraic connectivity on 2 neighborhood.3
p4 FM1,0,21399,0.4,0.0112750399549262,0.1541801444260148,0.0079268199644702,0.0997194301303206,36.658730158730144,0.2238095238095238,4.476190476190476,0.7549029101702788,0.1913356289048116,0.3047855976965138,0.0002808607927269,0.2579907622982356,0.0094211674894883,0.0997194301303206,0.1191722613834694,1417.2640530693368,0.2238095238095238,4.476190476190476,0.0631128634620148,0.0207030898732587,1.9431973905161253,0.0173446246370154,0.0029375431066141,1.3118998302099776e-05,0.0086967101447898,0.0997194301303206,0.1218001983613947,156.7551436069191,0.2238095238095238,4.476190476190476,0.5632037462414162,0.178019551655322,0.2122263498476279,0.0828611053513555,0.1112443278800773,0.0991235157534449,0.0077438788700427,0.0997194301303206,0.1118942163479564,5.035763996827223,0.2238095238095238,4.476190476190476,5.516713263357513
p4 FM1,0,21403,0.4,0.0112465786264702,0.1576852615713435,0.0079292990954943,0.0994644909272908,36.79563492063488,0.2238095238095238,4.476190476190476,0.726183598621864,0.1192865870186956,0.2004224749648359,0.0002519389388144,0.0962343646490208,0.0068455550890991,0.0994644909272908,0.0891093017784342,1810.698240674648,0.2238095238095238,4.476190476190476,0.051004871660523,0.0160850485264604,5.255050690754243,0.0182867391032969,0.0030358342466961,1.4029889427643192e-06,0.016507794122655,0.0994644909272908,0.1294132535912135,199.2637485365511,0.2238095238095238,4.476190476190476,0.4958535383753236,0.1515619224181235,0.2058011938185625,0.0821124542451426,0.107993186111711,0.035405376819505,0.00788344240436,0.0994644909272908,0.107046948992487,5.264458301013847,0.2238095238095238,4.476190476190476,5.167106637930279
p4 FM1,0,21404,0.5,0.0099809998964767,0.0986173581279294,0.0069921517712123,0.0871719202789474,32.57142857142859,0.2916666666666667,4.375,0.9260299220826832,0.1090000336201197,0.2661044371071318,0.0002225086417068,0.019052194691908,0.0071689409583236,0.0871719202789474,0.0603767656949413,1606.6400290666943,0.2916666666666667,4.375,0.0397211818708794,0.0179958162512165,0.907276918342162,0.0152843554025562,0.0022241316488061,6.16582619642902e-08,0.0050315219768405,0.0871719202789474,0.0427888274726821,186.46565030617663,0.2916666666666667,4.375,0.4113376410380562,0.1821985846573536,0.2296789313264857,0.0701294889156893,0.0565062222112443,0.0178894239543769,0.0060723078004878,0.0871719202789474,0.0561270986959963,5.006841799736778,0.2916666666666667,4.375,5.858954592697797
p4 FM1,0,21439,0.3333333333333333,0.0113600894870298,0.1631511836805076,0.0092108735628313,0.1074972575511298,36.52222222222224,0.2164502164502164,4.545454545454546,0.7335349877355666,0.1508355329547208,0.1818761722569913,0.0002600969809935,0.1080375942535853,0.0081337072664284,0.1074972575511298,0.1032982187575359,1733.3843001627845,0.2164502164502164,4.545454545454546,0.0537747298189829,0.0164344500623086,1.859684442938984,0.0121799370924073,0.0028374557523398,1.818456134863906e-07,0.0082795447454994,0.1074972575511298,0.1151252267773912,179.78002891680072,0.2164502164502164,4.545454545454546,0.5261652993826462,0.1761327489654746,0.172819735827909,0.0839447324040561,0.0999501399697359,0.0255702781095703,0.010053460306098,0.1074972575511298,0.0996941354552903,5.140804781645918,0.2164502164502164,4.545454545454546,4.7103293777981285
p4 FM1,0,21499,0.5,0.010032488548388,0.1028902762419731,0.0069150837380211,0.0881844827258652,33.104761904761936,0.2720588235294117,4.352941176470588,0.9430074592944736,0.1282285938865189,0.3178911699835285,0.0002425951296895,0.1266037234552057,0.0068217129653462,0.0881844827258652,0.0642086322402189,1370.2515106327858,0.2720588235294117,4.352941176470588,0.0559983221021521,0.0249172506480184,0.9787226242531912,0.0172873754764942,0.0022972049270892,3.039213580548997e-05,0.0052581543232074,0.0881844827258652,0.045321176446889,168.23064665815656,0.2720588235294117,4.352941176470588,0.4902817793154985,0.2320935955189984,0.2904217363941267,0.0747438424717101,0.0440818905573311,0.1396017090486552,0.0067840115355797,0.0881844827258652,0.0444241344831895,4.559030685751462,0.2720588235294117,4.352941176470588,7.619437822001386
p4 FM1,0,21505,0.5,0.0098574184580232,0.0949810656075946,0.0069709579096383,0.0863839452990197,32.07027417027418,0.3142857142857143,4.4,1.0758315294107188,0.1500379281663648,0.3549228375222041,0.0002458221154789,0.1349951492741815,0.0078642191841891,0.0863839452990197,0.06460776113672,1307.993069015755,0.3142857142857143,4.4,0.0519309229975635,0.0282933066008714,1.1851653318436326,0.0187301737833796,0.0023495676689688,0.0002026359460853,0.0061652245947487,0.0863839452990197,0.0461754844280067,163.46915191398136,0.3142857142857143,4.4,0.4609165052213765,0.3208421669965314,0.2702982163056233,0.0726726224058525,0.0241202022666839,0.1222176869932503,0.0066470057047944,0.0863839452990197,0.0256296087989001,4.508624141851868,0.3142857142857143,4.4,9.11127345839556
p4 FM1,0,21514,0.4,0.0108115922412476,0.1319712383962984,0.0081070900475654,0.0986374287779121,35.019841269841315,0.2285714285714285,4.571428571428571,0.7735573157134757,0.1545603033358007,0.2531957246785236,0.0002604027986027,0.1648526382263976,0.0079197232309345,0.0986374287779121,0.0938835263341722,1458.473530136405,0.2285714285714285,4.571428571428571,0.0603317907969894,0.0207227214153077,1.4359750837533818,0.0148197711670206,0.002632813647949,8.22083412924063e-08,0.0072522642523977,0.0986374287779121,0.0861787367230202,163.86648438069338,0.2285714285714285,4.571428571428571,0.5389335956781224,0.1953564144531455,0.2244158184349629,0.0798773071049891,0.0651772735475507,0.0566271614970551,0.0084745317233966,0.0986374287779121,0.0645309961254843,4.840949844984958,0.2285714285714285,4.571428571428571,5.941879611109393
p4 FM1,0,21516,0.3333333333333333,0.0109615692518073,0.1323689858947065,0.0094436239031267,0.1046107872138707,34.521428571428594,0.2368421052631578,4.5,0.7767539353744437,0.1837869546736385,0.22196607252907,0.0002639856704194,0.1743042377312553,0.009287331823344,0.1046107872138707,0.1046860962683197,1441.9280011306012,0.2368421052631578,4.5,0.060151528205731,0.0203638859575649,2.1785307504704496,0.012906786998315,0.002768982145081,3.712609282416127e-08,0.010540557783117,0.1046107872138707,0.1131506590366113,167.64341673335073,0.2368421052631578,4.5,0.5357244579365891,0.2052700982673666,0.1696945932163382,0.0806410528592589,0.0490861337692983,0.0317047312950796,0.0103057845143188,0.1046107872138707,0.0491201620630754,5.027408076682292,0.2368421052631578,4.5,5.797550980625149
p4 FM1,0,21517,0.3333333333333333,0.0116118766664344,0.1696060744902158,0.0091695055027464,0.1077395262692934,37.28214285714283,0.2121212121212121,4.454545454545454,0.6739566854001997,0.1827688664010546,0.2271856479393251,0.0002784391537912,0.2292333667050184,0.0090555337788959,0.1077395262692934,0.11933335820284,1567.8527425585576,0.2121212121212121,4.454545454545454,0.0628377681654724,0.0181248134855275,1.709731051208466,0.0128164236712525,0.0028210303922395,1.0874834547665723e-06,0.0081304320138316,0.1077395262692934,0.1067748774193661,165.0147946696748,0.2121212121212121,4.454545454545454,0.561583037281783,0.1614336093413147,0.1773699762482406,0.0857393030090612,0.1393970594945473,0.0899012907790884,0.0096324328368882,0.1077395262692934,0.139271653543307,5.0623246157886514,0.2121212121212121,4.454545454545454,5.091101163247151
p4 FM1,0,21520,0.4,0.0111397279751718,0.140197441244802,0.0079903296077969,0.0986311198455173,36.16944444444446,0.231578947368421,4.4,0.7536257201119804,0.18607350394732,0.2956063536054865,0.0002755348003712,0.2091839295805176,0.0095313818185798,0.0986311198455173,0.1159631391613929,1435.6195319272254,0.231578947368421,4.4,0.0605206603132805,0.0197452115780673,1.8331215064636983,0.0167102734939812,0.0028745636666864,0.0001392885648028,0.008462846529255,0.0986311198455173,0.1172928330354681,162.97518992406546,0.231578947368421,4.4,0.5318313348799997,0.180909968405205,0.2138138437839941,0.0831963614389686,0.0503787478622861,0.1114457238173227,0.0081108802246641,0.0986311198455173,0.0509864652335124,4.841967149840521,0.231578947368421,4.4,5.900771806805922
p4 FM1,0,21523,0.4,0.0112557339698601,0.152150102774896,0.0079429668455884,0.0986985053379646,36.43809523809522,0.231578947368421,4.4,0.7536257201119786,0.1833405146340055,0.2840171618810703,0.0002767988225246,0.2000414333333327,0.0095258541021235,0.0986985053379646,0.1177608925458845,1515.5336850466433,0.231578947368421,4.4,0.0567146838182829,0.0176085457878499,1.841883286701314,0.016159178664622,0.0029512385463739,7.729263567483844e-06,0.0078262750646519,0.0986985053379646,0.1291477219893404,153.71671393753763,0.231578947368421,4.4,0.5156878043077523,0.1589446778067842,0.1909684034118972,0.0814710203048645,0.0757460411964125,0.0575089551671156,0.0073281397137907,0.0986985053379646,0.0754176561263175,5.187499378360641,0.231578947368421,4.4,5.2287245703089775
p4 FM1,0,21527,0.4,0.0110640436298295,0.1558979158750488,0.0079867851931707,0.0986694077899777,35.74325396825399,0.2368421052631578,4.5,0.7963680216386143,0.1356733297740482,0.2322119265211495,0.000255735330879,0.1272122959105358,0.0073374212819831,0.0986694077899777,0.0842864610246843,1677.4005247146226,0.2368421052631578,4.5,0.0511319481414822,0.0182564487914828,1.516543538399146,0.0172001568331599,0.0026726874283656,1.308145204439953e-07,0.0068211357923361,0.0986694077899777,0.0717814493630401,189.27770404621643,0.2368421052631578,4.5,0.5053798660336384,0.1866908562102722,0.2054749141707108,0.0809042214726724,0.0892968752584988,0.0332180071744545,0.0081690938924273,0.0986694077899777,0.0904005922870752,5.1610659190418655,0.2368421052631578,4.5,5.858915714174748
p4 FM1,0,21528,0.3333333333333333,0.0114512005598212,0.1545283065936158,0.0092238852015154,0.1055197496187165,36.4515873015873,0.2368421052631578,4.5,0.7891285040417992,0.1360822815192003,0.1662226429461196,0.0002546033610645,0.0676447826278992,0.0081609858468201,0.1055197496187165,0.1038615345614698,1843.885941522728,0.2368421052631578,4.5,0.0484975302363061,0.0173301541019419,1.7325400602181609,0.0113423027324018,0.0027951960991818,9.05029491985403e-07,0.0082697014162199,0.1055197496187165,0.1110160573589348,187.85655126541988,0.2368421052631578,4.5,0.4755724753071011,0.1726559081547845,0.1774126209712677,0.0850363851685984,0.0956115234120344,0.0438305811827654,0.0099410067035417,0.1055197496187165,0.0957660240386618,5.05597123251083,0.2368421052631578,4.5,5.992905577127205
