,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5107,0.0,50.0,0.0,0.4888
split 1,0.0,50.0,0.0,0.4989,0.0,50.0,0.0,0.526
split 2,0.0,50.0,0.0,0.4828,0.0,50.0,0.0,0.5178
split 3,0.0,50.0,0.0,0.4811,0.0,50.0,0.0,0.5779
split 4,0.0,50.0,0.0,0.5113,0.0,50.0,0.0,0.4246
split 5,0.0,50.0,0.0,0.5057,0.0,50.0,0.0,0.5065
mean,0.0,50.0,0.0,0.4984,0.0,50.0,0.0,0.5069
std,0.0,0.0,0.0,0.0123,0.0,0.0,0.0,0.0459
