,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5409,0.0,50.0,0.0,0.4479
split 1,0.0,50.0,0.0,0.5075,0.0,50.0,0.0,0.5289
split 2,0.0,50.0,0.0,0.5045,0.0,50.0,0.0,0.4959
split 3,0.0,50.0,0.0,0.5001,0.0,50.0,0.0,0.497
split 4,0.0,50.0,0.0,0.519,0.0,50.0,0.0,0.4099
split 5,0.0,50.0,0.0,0.5075,0.0,50.0,0.0,0.4482
mean,0.0,50.0,0.0,0.5132,0.0,50.0,0.0,0.4713
std,0.0,0.0,0.0,0.0136,0.0,0.0,0.0,0.0396
