,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5359,0.0,50.0,0.0,0.537
split 1,0.0,50.0,0.0,0.5192,0.0,50.0,0.0,0.4906
split 2,0.0,50.0,0.0,0.5117,0.0,50.0,0.0,0.5616
split 3,0.0,50.0,0.0,0.521,0.0,50.0,0.0,0.4699
split 4,0.0,50.0,0.0,0.5171,0.0,50.0,0.0,0.5165
split 5,0.0,50.0,0.0,0.5296,0.0,50.0,0.0,0.4137
mean,0.0,50.0,0.0,0.5224,0.0,50.0,0.0,0.4982
std,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0481
