,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5167,0.0,50.0,0.0,0.5144
split 1,0.0,50.0,0.0,0.5122,0.0,50.0,0.0,0.5081
split 2,0.0,50.0,0.0,0.4977,0.0,50.0,0.0,0.4846
split 3,0.0,50.0,0.0,0.5111,0.0,50.0,0.0,0.5009
split 4,0.0,50.0,0.0,0.5133,0.0,50.0,0.0,0.5305
split 5,0.0,50.0,0.0,0.5089,0.0,50.0,0.0,0.459
mean,0.0,50.0,0.0,0.51,0.0,50.0,0.0,0.4996
std,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0228
