,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.592,0.0,50.0,0.0,0.4132
split 1,0.0,50.0,0.0,0.5704,0.0,50.0,0.0,0.4954
split 2,0.0,50.0,0.0,0.5753,0.0,50.0,0.0,0.4679
split 3,0.0,50.0,0.0,0.5639,0.0,50.0,0.0,0.5006
split 4,0.0,50.0,0.0,0.5668,0.0,50.0,0.0,0.4926
split 5,0.0,50.0,0.0,0.5663,0.0,50.0,0.0,0.4567
mean,0.0,50.0,0.0,0.5724,0.0,50.0,0.0,0.4711
std,0.0,0.0,0.0,0.0095,0.0,0.0,0.0,0.0302
