,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,21.94,50.77,0.0,15.06,35.3,28.07,34.38,0.0,49.83,0.5874,21.31,48.96,0.0,14.96,33.7,23.46,33.39,0.0,36.98,0.5158
split 1,18.18,50.27,0.0,4.27,33.93,30.45,33.62,0.0,57.74,0.5805,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5155
split 2,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5811,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.517
split 3,17.19,50.07,0.0,1.5,33.48,24.94,33.43,0.0,41.37,0.5766,18.17,50.17,0.0,4.34,33.88,30.69,33.55,0.0,58.51,0.5661
split 4,18.63,50.26,0.0,5.64,34.08,31.07,33.65,0.0,59.58,0.5784,16.6,49.79,0.0,0.0,33.0,11.08,33.25,0.0,0.0,0.5553
split 5,16.9,50.01,0.0,0.69,33.4,28.35,33.36,0.0,51.68,0.5782,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5305
mean,18.25,50.23,0.0,4.53,33.92,25.67,33.63,0.0,43.37,0.5804,17.68,49.82,0.0,3.22,33.43,16.43,33.37,0.0,15.91,0.5334
std,1.79,0.27,0.0,5.11,0.67,6.8,0.36,0.0,20.27,0.0035,1.71,0.4,0.0,5.48,0.28,7.81,0.09,0.0,23.35,0.0202
