,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,48.28,56.31,18.45,70.07,53.34,53.81,44.91,49.31,67.21,0.7521,45.43,56.47,11.8,68.02,51.87,52.61,43.7,47.13,67.01,0.7288
split 1,42.27,2.64,55.04,69.12,50.88,46.2,30.57,42.48,65.57,0.7027,42.86,3.7,56.55,68.31,51.55,70.05,100.0,42.74,67.42,0.7028
split 2,53.02,47.57,42.49,69.0,53.62,52.72,48.49,45.02,64.66,0.7397,52.68,45.81,41.56,70.68,53.7,52.41,46.45,46.33,64.46,0.7489
split 3,42.33,1.47,55.74,69.77,51.41,48.09,34.95,42.7,66.63,0.6946,40.33,0.0,55.09,65.9,49.54,35.38,0.0,41.68,64.45,0.6729
split 4,43.25,6.07,54.86,68.83,51.01,49.63,41.0,42.64,65.24,0.7049,42.73,0.0,56.07,72.12,52.36,37.0,0.0,43.12,67.88,0.717
split 5,42.67,3.24,55.59,69.19,51.34,49.42,40.12,43.04,65.1,0.7057,41.92,3.57,54.46,67.72,50.51,59.44,72.76,42.11,63.45,0.6984
mean,45.3,19.55,47.03,69.33,51.93,49.98,40.01,44.2,65.73,0.7166,44.32,18.26,45.92,68.79,51.59,51.15,43.82,43.85,65.78,0.7115
std,4.03,23.08,13.61,0.44,1.11,2.6,5.94,2.44,0.89,0.0213,4.03,23.5,16.11,2.04,1.32,12.1,36.15,2.1,1.71,0.024
