,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,44.34,49.92,41.13,41.97,45.02,46.28,41.66,45.85,51.33,0.6492,32.14,36.49,41.35,18.56,34.44,35.33,31.99,36.0,38.01,0.4998
split 1,40.76,49.64,32.92,39.73,42.38,43.81,39.48,44.41,47.54,0.6307,32.01,38.69,24.77,32.58,32.97,33.04,33.09,33.61,32.44,0.5611
split 2,43.62,49.19,42.32,39.35,44.4,45.86,40.56,47.99,49.02,0.6426,33.74,31.7,29.67,39.86,34.27,34.31,32.06,35.76,35.11,0.5075
split 3,44.05,51.59,35.04,45.51,45.45,47.0,42.1,50.46,48.44,0.6469,31.74,44.13,13.42,37.67,35.74,36.23,34.1,35.6,38.98,0.5186
split 4,41.16,50.62,33.89,38.98,42.84,44.11,40.38,46.03,45.91,0.6354,30.09,42.25,18.45,29.58,33.28,34.38,31.69,31.19,40.26,0.534
split 5,42.19,50.71,37.63,38.23,43.62,45.29,40.56,49.96,45.35,0.6376,27.79,44.32,27.14,11.9,33.6,37.34,31.83,38.57,41.63,0.546
mean,42.69,50.28,37.16,40.63,43.95,45.39,40.79,47.45,47.93,0.6404,31.25,39.6,25.8,28.36,34.05,35.11,32.46,35.12,37.74,0.5278
std,1.4,0.79,3.56,2.47,1.11,1.14,0.86,2.22,1.99,0.0065,1.88,4.52,8.82,10.04,0.91,1.4,0.86,2.28,3.11,0.0214
