,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5742,0.0,50.0,0.0,0.4952
split 1,0.0,50.0,0.0,0.574,0.0,50.0,0.0,0.4476
split 2,0.0,50.0,0.0,0.5879,0.0,50.0,0.0,0.4358
split 3,0.0,50.0,0.0,0.5867,0.0,50.0,0.0,0.4441
split 4,0.0,50.0,0.0,0.5887,0.0,50.0,0.0,0.3572
split 5,0.0,50.0,0.0,0.5831,0.0,50.0,0.0,0.4601
mean,0.0,50.0,0.0,0.5824,0.0,50.0,0.0,0.44
std,0.0,0.0,0.0,0.0061,0.0,0.0,0.0,0.0416
