,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,20.25,49.93,0.0,10.8,34.06,24.5,33.75,0.0,39.74,0.5904,19.14,49.63,0.0,7.79,33.8,27.98,33.32,0.0,50.6,0.526
split 1,22.02,50.12,0.0,15.94,34.85,26.43,34.06,0.0,45.25,0.5804,23.59,49.25,0.0,21.51,35.11,27.51,33.69,0.0,48.84,0.571
split 2,25.45,50.59,0.0,25.75,36.35,26.62,35.03,0.0,44.84,0.5814,20.43,50.65,0.0,10.65,34.79,29.0,34.09,0.0,52.91,0.562
split 3,19.84,50.31,0.0,9.21,34.45,29.51,33.8,0.0,54.71,0.5868,18.69,49.7,0.0,6.36,33.36,21.38,33.47,0.0,30.67,0.5391
split 4,21.41,49.95,0.0,14.29,34.63,27.18,33.82,0.0,47.72,0.5808,22.6,49.92,0.0,17.87,34.87,25.76,34.07,0.0,43.21,0.5425
split 5,22.24,50.42,0.0,16.29,35.13,27.01,34.25,0.0,46.77,0.5794,16.54,49.63,0.0,0.0,33.0,11.04,33.11,0.0,0.0,0.5592
mean,21.87,50.22,0.0,15.38,34.91,26.87,34.12,0.0,46.5,0.5832,20.16,49.8,0.0,10.7,34.16,23.78,33.63,0.0,37.7,0.55
std,1.82,0.24,0.0,5.31,0.72,1.47,0.44,0.0,4.45,0.004,2.38,0.43,0.0,7.19,0.81,6.2,0.37,0.0,18.36,0.0154
