,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,57.5,62.75,64.3,45.43,58.19,57.57,59.52,60.99,52.21,0.7643,51.22,54.82,57.49,41.37,51.7,51.26,54.83,53.18,45.78,0.6976
split 1,55.18,60.08,61.94,43.53,55.85,55.24,57.73,58.09,49.9,0.7448,61.8,69.88,67.79,47.72,62.5,61.77,68.15,63.32,53.84,0.8022
split 2,56.87,63.94,63.57,43.1,57.78,56.97,60.39,59.69,50.83,0.7649,52.97,56.53,57.81,44.58,53.3,53.01,53.41,56.81,48.82,0.7176
split 3,55.91,60.29,62.33,45.1,56.45,55.93,58.16,58.9,50.73,0.7454,54.6,64.25,66.1,33.46,56.83,54.9,58.21,60.82,45.66,0.7749
split 4,55.43,60.58,62.21,43.51,56.18,55.57,58.19,57.9,50.64,0.7449,57.12,62.12,66.7,42.53,58.32,57.64,57.06,62.56,53.29,0.7757
split 5,55.4,60.82,62.4,42.97,56.2,55.53,58.13,58.15,50.32,0.7506,56.1,62.77,62.87,42.66,56.99,56.26,60.48,57.92,50.38,0.7611
mean,56.05,61.41,62.79,43.94,56.77,56.14,58.69,58.95,50.77,0.7525,55.64,61.73,63.13,42.05,56.61,55.81,58.69,59.1,49.63,0.7548
std,0.85,1.43,0.85,0.97,0.88,0.84,0.94,1.09,0.72,0.0088,3.37,4.98,4.15,4.35,3.49,3.38,4.8,3.52,3.24,0.036
