,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5319,0.0,50.0,0.0,0.5168
split 1,0.0,50.0,0.0,0.509,0.0,50.0,0.0,0.5548
split 2,0.0,50.0,0.0,0.5344,0.0,50.0,0.0,0.5176
split 3,0.0,50.0,0.0,0.5293,0.0,50.0,0.0,0.5185
split 4,0.0,50.0,0.0,0.532,0.0,50.0,0.0,0.6213
split 5,0.0,50.0,0.0,0.5359,0.0,50.0,0.0,0.5087
mean,0.0,50.0,0.0,0.5287,0.0,50.0,0.0,0.5396
std,0.0,0.0,0.0,0.0091,0.0,0.0,0.0,0.0394
