,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.4767,0.0,50.0,0.0,0.4881
split 1,0.0,50.0,0.0,0.47,0.0,50.0,0.0,0.4981
split 2,0.0,50.0,0.0,0.4807,0.0,50.0,0.0,0.4967
split 3,0.0,50.0,0.0,0.4868,0.0,50.0,0.0,0.4848
split 4,0.0,50.0,0.0,0.4966,0.0,50.0,0.0,0.4238
split 5,0.0,50.0,0.0,0.4988,0.0,50.0,0.0,0.4761
mean,0.0,50.0,0.0,0.4849,0.0,50.0,0.0,0.478
std,0.0,0.0,0.0,0.0103,0.0,0.0,0.0,0.0253
