,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5571,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.542
split 1,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5561,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5577
split 2,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5495,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5768
split 3,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.555,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5601
split 4,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5649,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.4835
split 5,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5557,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5418
mean,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5564,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5436
std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0294
test mean,16.666666666666664,50.0,0.0,0.0,33.33333333333333,11.111111111111109,33.33333333333333,0.0,0.0,0.5586475065666189,16.666666666666668,50.00000000000001,0.0,0.0,33.33333333333333,11.11111111111111,33.333333333333336,0.0,0.0,0.5171027518461054
test std,1.648333410921835e-14,4.9577459643356337e-14,0.0,0.0,6.31333788191056e-15,1.4682187238296424e-14,4.367929553889947e-14,0.0,0.0,0.04256165474461967,1.5937791926147293e-14,4.825678597060134e-14,0.0,0.0,7.105427357601002e-15,1.444485061989073e-14,4.2780337774645346e-14,0.0,0.0,0.03948249230394915
