,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,35.91,50.55,17.72,39.46,40.7,44.57,37.51,48.78,47.41,0.6022,25.45,49.39,16.23,10.73,34.98,38.28,34.21,49.8,30.82,0.5355
split 1,35.28,49.02,24.35,32.47,38.91,41.44,36.73,45.61,41.97,0.5994,21.99,42.03,5.72,18.2,28.85,25.09,30.16,18.36,26.76,0.4842
split 2,37.55,50.06,20.03,42.57,41.51,45.0,38.15,50.34,46.52,0.603,28.54,41.17,25.45,19.0,31.31,31.01,31.59,34.62,26.83,0.5019
split 3,38.97,47.23,33.83,35.86,40.56,42.77,37.0,45.82,45.47,0.6033,30.58,43.75,11.59,36.4,34.11,31.92,36.87,26.21,32.68,0.5188
split 4,39.91,48.71,29.46,41.58,41.83,43.59,38.61,46.07,46.1,0.6117,26.41,46.34,2.17,30.72,34.11,55.88,33.94,100.0,33.69,0.5011
split 5,38.81,50.58,34.92,30.92,41.77,46.06,38.07,45.25,54.86,0.6044,27.72,36.17,21.71,25.29,29.27,29.93,28.82,33.0,27.96,0.4773
mean,37.74,49.36,26.72,37.14,40.88,43.9,37.68,46.98,47.05,0.604,26.78,43.14,13.81,23.39,32.1,35.35,32.6,43.66,29.79,0.5031
std,1.67,1.19,6.54,4.41,1.01,1.51,0.66,1.9,3.89,0.0037,2.69,4.15,8.26,8.5,2.44,9.96,2.71,26.93,2.77,0.0197
