,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,34.53,51.1,16.99,35.49,40.36,47.42,36.79,55.13,50.32,0.6178,32.93,49.18,17.33,32.29,37.31,36.91,37.03,33.76,39.94,0.5195
split 1,28.14,50.77,12.39,21.27,37.29,45.98,35.15,51.96,50.84,0.5987,22.19,49.57,0.0,17.0,34.52,26.47,33.78,0.0,45.62,0.5035
split 2,32.31,49.9,11.88,35.15,38.64,44.63,36.33,54.29,43.27,0.602,30.52,44.41,17.13,30.02,34.55,36.54,33.15,40.01,36.45,0.5424
split 3,33.47,50.19,20.81,29.4,38.99,44.63,36.07,50.82,47.0,0.6096,28.82,46.73,18.24,21.48,33.92,33.4,34.29,30.96,34.95,0.5315
split 4,35.48,49.88,21.33,35.24,39.94,44.67,36.64,50.38,47.01,0.6023,22.4,44.75,4.11,18.34,30.71,26.33,31.51,13.04,34.44,0.5595
split 5,34.41,51.15,14.62,37.45,40.2,44.52,37.43,49.41,46.73,0.605,24.1,42.48,8.67,21.15,30.11,30.07,30.91,32.47,26.85,0.537
mean,33.06,50.5,16.34,32.33,39.24,45.31,36.4,52.0,47.53,0.6059,26.83,46.19,10.91,23.38,33.52,31.62,33.45,25.04,36.38,0.5322
std,2.41,0.53,3.74,5.53,1.07,1.07,0.7,2.07,2.52,0.0063,4.15,2.57,7.12,5.75,2.45,4.33,2.0,13.91,5.7,0.0176
