,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5159,0.0,50.0,0.0,0.472
split 1,0.0,50.0,0.0,0.5043,0.0,50.0,0.0,0.5388
split 2,0.0,50.0,0.0,0.4873,0.0,50.0,0.0,0.5604
split 3,0.0,50.0,0.0,0.5082,0.0,50.0,0.0,0.5023
split 4,0.0,50.0,0.0,0.5166,0.0,50.0,0.0,0.4297
split 5,0.0,50.0,0.0,0.5037,0.0,50.0,0.0,0.486
mean,0.0,50.0,0.0,0.506,0.0,50.0,0.0,0.4982
std,0.0,0.0,0.0,0.0098,0.0,0.0,0.0,0.0429
