,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5314,0.0,50.0,0.0,0.5023
split 1,0.0,50.0,0.0,0.5372,0.0,50.0,0.0,0.5755
split 2,0.0,50.0,0.0,0.5093,0.0,50.0,0.0,0.5274
split 3,0.0,50.0,0.0,0.5138,0.0,50.0,0.0,0.5401
split 4,0.0,50.0,0.0,0.5079,0.0,50.0,0.0,0.5343
split 5,0.0,50.0,0.0,0.5258,0.0,50.0,0.0,0.5973
mean,0.0,50.0,0.0,0.5209,0.0,50.0,0.0,0.5461
std,0.0,0.0,0.0,0.0112,0.0,0.0,0.0,0.0314
