,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.4828,0.0,50.0,0.0,0.4916
split 1,0.0,50.0,0.0,0.5168,0.0,50.0,0.0,0.4883
split 2,0.0,50.0,0.0,0.4922,0.0,50.0,0.0,0.4499
split 3,0.0,50.0,0.0,0.4878,0.0,50.0,0.0,0.4749
split 4,0.0,50.0,0.0,0.5173,0.0,50.0,0.0,0.5007
split 5,0.0,50.0,0.0,0.4809,0.0,50.0,0.0,0.5221
mean,0.0,50.0,0.0,0.4963,0.0,50.0,0.0,0.4879
std,0.0,0.0,0.0,0.0151,0.0,0.0,0.0,0.0222
