Label, Parent Label
43264,43796
43392,43918
43200,43766
43680,43881
43424,43755
43360,43826
43488,44083
43536,44003
43600,43782
43216,43855
43312,43914
43184,43832
43696,43891
43440,43757
43632,44023
43504,44011
43528,43849
43400,43823
43720,43741
43464,43990
43624,43861
43288,43886
43160,43749
43672,43906
43416,43959
43608,44029
43320,43827
43192,43769
43704,44080
43652,43793
43588,44027
43556,44000
43300,43816
43172,43967
43620,44047
43364,43898
43236,43856
43540,43722
43284,43882
43156,43819
43668,44069
43092,43842
43604,43780
43220,43852
43476,43968
43636,43799
43508,43985
43532,43840
43276,43806
43148,43813
43596,44025
43340,43904
43468,44011
43180,43828
43692,43904
43436,43758
43372,43917
43244,44077
43500,44083
43292,43808
43676,44059
43100,43787
43612,44032
43324,43906
43196,43769
43708,43868
43644,43864
43388,43971
43260,44061
43266,44080
43650,44043
43394,43920
43586,44077
43330,43882
43170,43828
43682,44079
43106,44028
43362,43817
43234,44033
43490,43978
43538,44028
43666,44058
43346,43895
43218,43774
43474,43720
43186,43976
43634,43724
43506,43766
43530,43997
43274,44091
43146,43806
43658,44059
43402,43749
43210,43775
43722,43813
43466,43990
43178,43718
43434,43940
43370,43819
43162,43827
43098,43722
43354,43737
43482,43970
43706,43834
43450,43936
43642,44047
43386,43902
43258,43795
43514,43844
43270,43881
43142,43888
43654,44055
43078,43891
43590,43777
43718,43741
43462,43969
43558,43721
43686,44082
43430,43971
43622,44038
43238,43782
43542,43847
43670,44071
43414,43940
43606,44022
43350,43816
43222,43780
43734,44054
43702,43873
43382,43944
43254,44048
43510,43841
43150,43817
43086,43737
43598,44019
43342,43941
43214,43849
43470,43841
43566,43773
43310,43907
43182,43758
43694,44079
43630,44045
43374,43742
43502,43965
43294,43732
43166,43751
43678,44076
43102,43853
43614,44025
43486,43840
43710,43864
43454,43963
43646,44049
43390,43917
43262,43797
43518,43845
43521,43983
43649,43795
43393,43920
43329,43807
43201,43976
43713,43895
43457,43967
43169,43751
43681,44078
43425,43969
43105,43779
43617,44029
43489,44003
43537,43775
43345,43752
43217,44005
43313,43888
43185,43965
43697,44081
43441,43958
43377,43914
43249,44033
43505,43983
43145,43806
43593,43855
43337,43915
43209,43986
43721,43887
43465,43974
43561,43997
43177,43968
43689,43802
43625,44042
43289,43889
43161,43929
43417,43959
43097,44001
43225,43785
43481,43976
43577,44022
43321,44091
43193,43982
43705,43755
43257,44058
43525,43999
43269,43939
43653,43793
43589,43787
43333,43887
43557,44001
43621,44012
43365,43907
43237,44027
43541,43846
43157,43936
43669,44061
43413,43963
43093,43764
43605,44041
43733,44055
43477,43974
43317,44081
43701,43873
43637,43799
43381,43944
43253,44039
43509,43985
43661,44073
43085,43892
43597,44019
43341,43732
43469,43978
43565,43999
43181,43986
43629,44039
43245,43724
43293,43808
43165,43823
43421,43834
43101,43774
43613,43860
43357,43892
43485,43972
43197,43764
43709,43868
43453,43958
43645,44048
43389,43745
43261,44071
43517,44000
43523,43721
43651,43796
43587,43856
43331,43809
43555,44012
43683,44078
43107,44075
43619,44032
43235,43860
43155,43898
43667,44041
43411,43939
43091,43959
43603,43784
43347,43909
43219,44013
43699,44082
43443,43758
43635,44042
43379,43941
43251,44043
43531,43852
43147,43809
43659,44049
43403,43929
43083,43886
43595,44005
43211,44026
43467,43718
43563,44000
43307,43902
43179,43986
43691,44076
43435,43826
43115,44038
43627,43785
43243,44046
43675,43802
43611,44045
43483,43970
43579,44026
43323,43807
43195,43972
43515,43844
43527,43847
43271,43884
43335,43889
43207,43773
43719,43745
43431,43757
43671,44073
43415,43752
43223,44013
43479,43976
43191,43832
43703,43884
43639,44075
43383,43909
43599,43853
43343,43915
43215,43779
43727,44046
43567,43846
43695,43797
43631,44023
43375,43742
43247,44054
43503,43982
43103,43777
43615,43861
43487,43845
43199,43720
43711,43784
43455,43842
43135,44069
43391,43918
