,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5046,0.0,50.0,0.0,0.4375
split 1,0.0,50.0,0.0,0.5087,0.0,50.0,0.0,0.4976
split 2,0.0,50.0,0.0,0.4878,0.0,50.0,0.0,0.505
split 3,0.0,50.0,0.0,0.4848,0.0,50.0,0.0,0.5114
split 4,0.0,50.0,0.0,0.4912,0.0,50.0,0.0,0.4889
split 5,0.0,50.0,0.0,0.4863,0.0,50.0,0.0,0.5274
mean,0.0,50.0,0.0,0.4939,0.0,50.0,0.0,0.4946
std,0.0,0.0,0.0,0.0093,0.0,0.0,0.0,0.0282
