,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,40.59,46.18,29.91,45.68,42.09,43.78,38.83,48.75,43.77,0.622,34.39,36.23,27.22,39.74,35.32,36.01,37.74,37.15,33.12,0.5273
split 1,43.08,48.91,37.45,42.88,43.93,45.2,40.71,49.02,45.86,0.6327,25.7,41.59,14.1,21.42,29.01,26.51,32.32,20.89,26.32,0.4743
split 2,42.22,49.81,33.93,42.91,43.71,46.1,40.42,53.3,44.59,0.6356,30.4,44.47,20.1,26.63,33.67,33.51,34.01,33.92,32.58,0.5148
split 3,43.14,48.91,37.51,43.0,44.02,45.44,40.46,49.32,46.55,0.6365,31.16,39.29,14.42,39.78,34.75,41.37,34.09,56.82,33.2,0.532
split 4,43.07,51.31,37.51,40.38,44.34,45.79,41.81,51.13,44.42,0.6383,26.0,41.03,22.22,14.77,30.29,30.59,30.34,29.14,32.28,0.4761
split 5,42.09,49.58,34.03,42.67,43.29,44.31,41.67,48.33,42.94,0.6287,31.02,25.36,28.06,39.64,32.19,33.57,26.59,41.78,32.34,0.4897
mean,42.36,49.12,35.06,42.92,43.56,45.1,40.65,49.97,44.69,0.6323,29.78,37.99,21.02,30.33,32.54,33.59,32.52,36.62,31.64,0.5024
std,0.9,1.54,2.79,1.54,0.73,0.81,0.98,1.73,1.21,0.0056,3.06,6.17,5.5,10.0,2.29,4.57,3.46,11.15,2.4,0.0234
