,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,23.85,50.28,0.0,21.28,35.6,26.7,34.46,0.0,45.63,0.5961,18.87,48.99,0.0,7.61,32.64,19.12,33.2,0.0,24.15,0.547
split 1,19.82,50.28,0.72,8.44,34.26,44.36,33.85,55.19,44.04,0.5957,18.86,49.77,3.27,3.54,33.53,36.51,33.47,47.32,28.73,0.5176
split 2,22.11,50.77,4.48,11.07,35.42,54.12,34.29,75.72,52.35,0.5993,18.99,48.89,5.67,2.43,33.17,38.26,32.88,56.2,25.69,0.5389
split 3,18.7,50.23,0.0,5.86,34.02,28.53,33.66,0.0,51.92,0.5913,22.28,50.65,0.0,16.19,34.94,24.42,34.58,0.0,38.66,0.552
split 4,17.21,50.15,1.47,0.0,33.54,26.92,33.48,47.27,0.0,0.5938,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5451
split 5,19.03,50.16,0.0,6.93,34.06,27.71,33.66,0.0,49.46,0.5911,22.0,51.76,0.0,14.24,35.82,28.01,35.03,0.0,49.01,0.5775
mean,20.12,50.31,1.11,8.93,34.48,34.72,33.9,29.7,40.57,0.5946,19.61,50.01,1.49,7.33,33.91,26.24,33.75,17.25,27.71,0.5464
std,2.22,0.21,1.6,6.46,0.76,10.66,0.36,30.88,18.4,0.0029,1.96,0.99,2.22,6.03,1.11,9.45,0.78,24.53,15.05,0.0177
