,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5736,0.0,50.0,0.0,0.4944
split 1,0.0,50.0,0.0,0.5495,0.0,50.0,0.0,0.5171
split 2,0.0,50.0,0.0,0.5402,0.0,50.0,0.0,0.494
split 3,0.0,50.0,0.0,0.56,0.0,50.0,0.0,0.5177
split 4,0.0,50.0,0.0,0.5375,0.0,50.0,0.0,0.5451
split 5,0.0,50.0,0.0,0.5524,0.0,50.0,0.0,0.5507
mean,0.0,50.0,0.0,0.5522,0.0,50.0,0.0,0.5198
std,0.0,0.0,0.0,0.0122,0.0,0.0,0.0,0.0221
