,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5119,0.0,50.0,0.0,0.4265
split 1,0.0,50.0,0.0,0.4755,0.0,50.0,0.0,0.479
split 2,0.0,50.0,0.0,0.4872,0.0,50.0,0.0,0.5256
split 3,0.0,50.0,0.0,0.4825,0.0,50.0,0.0,0.518
split 4,0.0,50.0,0.0,0.495,0.0,50.0,0.0,0.5158
split 5,0.0,50.0,0.0,0.4809,0.0,50.0,0.0,0.4786
mean,0.0,50.0,0.0,0.4888,0.0,50.0,0.0,0.4906
std,0.0,0.0,0.0,0.0119,0.0,0.0,0.0,0.0342
