,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5204,0.0,50.0,0.0,0.5074
split 1,0.0,50.0,0.0,0.4574,0.0,50.0,0.0,0.5967
split 2,0.0,50.0,0.0,0.4658,0.0,50.0,0.0,0.4983
split 3,0.0,50.0,0.0,0.4962,0.0,50.0,0.0,0.4969
split 4,0.0,50.0,0.0,0.5227,0.0,50.0,0.0,0.545
split 5,0.0,50.0,0.0,0.5029,0.0,50.0,0.0,0.6729
mean,0.0,50.0,0.0,0.4942,0.0,50.0,0.0,0.5529
std,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.064
