,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,31.34,51.76,8.04,34.21,39.74,55.25,36.39,76.76,52.59,0.6305,23.94,47.82,6.8,17.2,33.24,32.14,33.37,29.31,33.74,0.5276
split 1,29.14,50.68,1.9,34.84,38.17,52.71,36.04,76.54,45.56,0.6132,34.08,52.16,12.86,37.21,40.27,51.79,39.09,77.11,39.19,0.5831
split 2,34.83,50.87,16.01,37.62,40.39,47.38,37.32,59.28,45.55,0.637,24.78,45.87,7.37,21.11,31.58,27.79,33.34,21.55,28.5,0.5158
split 3,37.16,53.29,18.91,39.28,42.48,47.57,39.15,53.99,49.56,0.6407,25.81,39.6,11.39,26.44,29.38,27.76,30.57,23.91,28.8,0.4951
split 4,34.57,51.27,12.31,40.11,40.86,50.31,37.59,66.69,46.65,0.6268,27.41,45.32,5.76,31.15,33.3,31.05,34.48,26.94,31.74,0.5513
split 5,30.39,50.22,2.79,38.15,38.69,50.58,36.25,70.1,45.4,0.6151,24.41,45.43,0.0,27.8,32.58,21.45,33.04,0.0,31.31,0.5118
mean,32.91,51.35,9.99,37.37,40.05,50.63,37.12,67.23,47.55,0.6272,26.74,46.04,7.36,26.82,33.39,32.0,33.98,29.8,32.21,0.5308
std,2.82,0.99,6.36,2.17,1.42,2.76,1.07,8.41,2.67,0.0103,3.47,3.72,4.16,6.49,3.35,9.48,2.57,23.23,3.59,0.028999999999999998
test mean,25.285392855036402,49.74572478910305,3.03653645301464,23.073917322991527,36.48467388513599,28.622435396482185,35.52843747689864,11.39132659789795,38.94754211464997,0.6145669100055422,22.486383924178625,47.792260162418415,0.45600000000000024,19.210891610117454,33.308597239514285,25.257866483812986,33.635458821893856,4.425465838509317,37.71267479103578,0.535166917874544
test std,5.567908752224625,3.0354398385944545,7.508492555976224,17.06029504444473,3.2091999092933667,11.083328412860414,3.111902856411115,27.44674916755514,23.857748582207936,0.037414773931883236,3.752183425212358,3.1129488012660955,1.206462597845454,11.86703343244987,2.1628298730830733,9.940307256948616,1.460157146900516,11.708682044307583,26.369125572289434,0.0522556245803666
