,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5548,0.0,50.0,0.0,0.5433
split 1,0.0,50.0,0.0,0.5363,0.0,50.0,0.0,0.5086
split 2,0.0,50.0,0.0,0.5476,0.0,50.0,0.0,0.5387
split 3,0.0,50.0,0.0,0.5291,0.0,50.0,0.0,0.591
split 4,0.0,50.0,0.0,0.525,0.0,50.0,0.0,0.4767
split 5,0.0,50.0,0.0,0.5532,0.0,50.0,0.0,0.5101
mean,0.0,50.0,0.0,0.541,0.0,50.0,0.0,0.5281
std,0.0,0.0,0.0,0.0116,0.0,0.0,0.0,0.0357
