,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,34.69,50.23,25.69,28.14,39.33,44.04,36.62,53.16,42.36,0.5994,31.0,46.41,19.54,27.06,35.57,37.78,33.98,40.02,39.34,0.5611
split 1,28.44,50.33,9.91,25.09,37.25,48.69,35.06,65.09,45.91,0.5952,19.51,50.59,0.0,7.94,33.22,18.87,34.5,0.0,22.12,0.5117
split 2,39.32,50.45,32.22,35.27,41.74,44.13,38.81,48.85,44.75,0.616,29.76,43.85,16.52,28.91,32.64,30.96,34.84,26.66,31.39,0.5131
split 3,33.06,50.97,16.98,31.24,39.21,45.56,36.67,55.58,44.42,0.6033,22.07,48.27,1.62,16.32,33.12,28.7,33.29,19.14,33.66,0.5175
split 4,31.8,50.39,10.61,34.41,38.62,44.6,36.49,54.0,43.31,0.5942,26.37,45.32,5.86,27.92,32.58,31.87,33.98,32.11,29.5,0.496
split 5,33.99,50.26,24.36,27.36,39.02,43.24,36.39,46.88,46.44,0.5983,23.68,46.19,12.96,11.9,31.36,28.59,32.87,23.3,29.6,0.5179
mean,33.55,50.44,19.96,30.25,39.19,45.04,36.67,53.93,44.53,0.6011,25.4,46.77,9.42,20.01,33.08,29.46,33.91,23.54,30.94,0.5195
std,3.27,0.25,8.16,3.72,1.33,1.77,1.1,5.82,1.4,0.0073,4.08,2.16,7.39,8.33,1.27,5.64,0.67,12.44,5.16,0.02
