,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,21.67,49.76,0.0,15.25,34.41,25.0,33.85,0.0,41.14,0.5843,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5469
split 1,20.39,50.47,0.36,10.34,34.71,62.73,33.96,100.0,54.22,0.5916,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5071
split 2,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5894,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.552
split 3,21.13,50.63,0.0,12.76,35.03,29.34,34.15,0.0,53.87,0.5912,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5383
split 4,20.93,50.58,0.74,11.47,34.93,51.8,34.09,67.47,53.84,0.5954,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5205
split 5,20.63,50.54,0.0,11.34,34.78,28.64,34.06,0.0,51.85,0.5789,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5893
mean,20.24,50.33,0.18,10.19,34.53,34.77,33.91,27.91,42.49,0.5885,16.67,50.0,0.0,0.0,33.33,11.11,33.33,0.0,0.0,0.5424
std,1.65,0.33,0.28,4.81,0.57,17.29,0.27,40.57,19.54,0.0054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026
