,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,42.8,50.13,39.96,38.33,44.01,45.9,40.2,48.05,49.44,0.6466,28.39,39.81,11.66,33.69,31.01,28.41,33.07,19.42,32.75,0.5274
split 1,41.72,50.18,34.37,40.63,43.52,46.67,39.09,52.39,48.52,0.6378,33.93,55.28,19.14,27.37,37.55,34.37,44.03,23.44,35.63,0.5217
split 2,42.45,50.96,38.35,38.04,43.98,46.08,40.31,50.64,47.3,0.6473,35.8,46.05,31.43,29.93,38.12,42.14,35.23,37.28,53.93,0.5477
split 3,44.9,50.64,43.77,40.27,45.72,47.31,41.6,50.2,50.13,0.6507,31.0,26.7,44.41,21.88,33.97,34.38,31.39,34.22,37.52,0.4995
split 4,40.81,50.75,39.09,32.58,42.87,45.07,39.51,47.99,47.72,0.6349,31.3,50.42,6.57,36.9,37.55,33.09,37.46,17.33,44.49,0.584
split 5,43.7,50.58,41.3,39.22,44.66,45.87,41.53,48.8,47.28,0.6404,34.91,35.47,35.34,33.91,34.97,35.45,32.26,35.32,38.76,0.5298
mean,42.73,50.54,39.47,38.18,44.13,46.15,40.37,49.68,48.4,0.643,32.55,42.29,24.76,30.61,35.53,34.64,35.57,27.83,40.51,0.535
std,1.32,0.3,2.87,2.67,0.9,0.7,0.93,1.57,1.08,0.0056,2.56,9.53,13.39,4.95,2.52,4.05,4.28,8.03,6.97,0.0261
