,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.4972,0.0,50.0,0.0,0.5105
split 1,0.0,50.0,0.0,0.4999,0.0,50.0,0.0,0.4712
split 2,0.0,50.0,0.0,0.4972,0.0,50.0,0.0,0.5083
split 3,0.0,50.0,0.0,0.4926,0.0,50.0,0.0,0.5335
split 4,0.0,50.0,0.0,0.5003,0.0,50.0,0.0,0.4973
split 5,0.0,50.0,0.0,0.5044,0.0,50.0,0.0,0.4738
mean,0.0,50.0,0.0,0.4986,0.0,50.0,0.0,0.4991
std,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.0217
