,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.553,0.0,50.0,0.0,0.4702
split 1,0.0,50.0,0.0,0.5365,0.0,50.0,0.0,0.401
split 2,0.0,50.0,0.0,0.5399,0.0,50.0,0.0,0.4379
split 3,0.0,50.0,0.0,0.5123,0.0,50.0,0.0,0.5257
split 4,0.0,50.0,0.0,0.5275,0.0,50.0,0.0,0.4361
split 5,0.0,50.0,0.0,0.5132,0.0,50.0,0.0,0.4705
mean,0.0,50.0,0.0,0.5304,0.0,50.0,0.0,0.4569
std,0.0,0.0,0.0,0.0145,0.0,0.0,0.0,0.0388
