,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5708,0.0,50.0,0.0,0.5224
split 1,0.0,50.0,0.0,0.5921,0.0,50.0,0.0,0.5461
split 2,0.0,50.0,0.0,0.5878,0.0,50.0,0.0,0.4711
split 3,0.0,50.0,0.0,0.6104,0.0,50.0,0.0,0.5286
split 4,0.0,50.0,0.0,0.583,0.0,50.0,0.0,0.5462
split 5,0.0,50.0,0.0,0.5888,0.0,50.0,0.0,0.488
mean,0.0,50.0,0.0,0.5888,0.0,50.0,0.0,0.5171
std,0.0,0.0,0.0,0.0118,0.0,0.0,0.0,0.0283
