,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5126,0.0,50.0,0.0,0.455
split 1,0.0,50.0,0.0,0.4985,0.0,50.0,0.0,0.4936
split 2,0.0,50.0,0.0,0.4984,0.0,50.0,0.0,0.5111
split 3,0.0,50.0,0.0,0.5006,0.0,50.0,0.0,0.4964
split 4,0.0,50.0,0.0,0.4977,0.0,50.0,0.0,0.516
split 5,0.0,50.0,0.0,0.4869,0.0,50.0,0.0,0.5818
mean,0.0,50.0,0.0,0.4991,0.0,50.0,0.0,0.509
std,0.0,0.0,0.0,0.0075,0.0,0.0,0.0,0.038
