,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,31.37,50.51,13.25,30.34,38.18,42.67,36.16,47.66,44.18,0.5918,26.54,49.03,5.72,24.86,34.96,33.17,34.75,26.68,38.06,0.5267
split 1,33.86,49.31,11.61,40.66,39.55,45.08,37.1,55.29,42.86,0.5899,33.33,49.05,8.05,42.89,39.25,37.82,36.54,28.46,48.47,0.5176
split 2,41.87,47.34,29.54,48.73,43.68,45.15,43.01,50.12,42.3,0.6072,29.12,32.91,21.35,33.09,30.12,30.69,30.33,32.78,28.97,0.4659
split 3,36.73,49.24,23.8,37.17,40.05,43.01,37.62,49.23,42.18,0.5972,30.23,40.48,17.33,32.88,32.1,30.75,33.69,25.12,33.43,0.495
split 4,37.27,47.04,24.43,40.35,39.74,41.58,37.32,45.51,41.9,0.594,27.97,48.03,18.94,16.95,33.8,33.3,35.17,26.25,38.48,0.5183
split 5,35.02,49.34,13.6,42.13,39.99,42.0,37.75,44.64,43.59,0.6007,28.28,40.55,13.26,31.02,31.81,34.64,32.13,42.23,29.56,0.4824
mean,36.02,48.8,19.37,39.89,40.2,43.25,38.16,48.74,42.84,0.5968,29.24,43.35,14.11,30.28,33.68,33.39,33.77,30.25,36.16,0.501
std,3.26,1.22,6.83,5.51,1.68,1.4,2.23,3.5,0.81,0.0058,2.14,5.94,5.68,7.97,2.92,2.43,2.05,5.89,6.62,0.0218
test mean,32.96673540498065,47.09945028012422,15.129120311684888,36.67163562313285,39.10480860239487,41.56111390778559,36.52668591000148,46.6178570848846,41.53879872847066,0.5931615793403705,26.034583550802807,47.02463297634502,5.727403835304056,25.351713840759345,34.15557808889938,29.28881603560182,34.80351454051043,15.716896466418586,37.34603709987643,0.5126728106240512
test std,7.03378905791463,6.798689529640265,15.949117111347636,15.175396679204706,5.074424574968209,10.779288610034271,4.68988080690435,31.829536675954348,14.623335453407869,0.04933747891558517,4.256616219382435,4.236289519879564,5.7525044455591745,12.231843332474432,3.043132330880996,8.385686637021827,2.5901263397906873,15.03889273851332,10.0093063098765,0.04944988045155511
