,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5115,0.0,50.0,0.0,0.4882
split 1,0.0,50.0,0.0,0.4965,0.0,50.0,0.0,0.4954
split 2,0.0,50.0,0.0,0.4859,0.0,50.0,0.0,0.5118
split 3,0.0,50.0,0.0,0.5066,0.0,50.0,0.0,0.5387
split 4,0.0,50.0,0.0,0.5114,0.0,50.0,0.0,0.5656
split 5,0.0,50.0,0.0,0.4893,0.0,50.0,0.0,0.5339
mean,0.0,50.0,0.0,0.5002,0.0,50.0,0.0,0.5223
std,0.0,0.0,0.0,0.0102,0.0,0.0,0.0,0.0267
test mean,0.0,49.99999999999999,0.0,0.5034472568317018,0.0,50.0,0.0,0.5026714161383892
test std,0.0,1.6782874073260303e-14,0.0,0.09122557878717569,0.0,1.703821625409574e-14,0.0,0.06928016204153827
