,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5418,0.0,50.0,0.0,0.5528
split 1,0.0,50.0,0.0,0.5418,0.0,50.0,0.0,0.5084
split 2,0.0,50.0,0.0,0.5614,0.0,50.0,0.0,0.4808
split 3,0.0,50.0,0.0,0.56,0.0,50.0,0.0,0.4878
split 4,0.0,50.0,0.0,0.5411,0.0,50.0,0.0,0.572
split 5,0.0,50.0,0.0,0.5542,0.0,50.0,0.0,0.5103
mean,0.0,50.0,0.0,0.55,0.0,50.0,0.0,0.5187
std,0.0,0.0,0.0,0.0087,0.0,0.0,0.0,0.0331
