,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5539,0.0,50.0,0.0,0.5183
split 1,2.08,50.41,81.92,0.5584,0.0,49.0,0.0,0.5535
split 2,0.0,50.0,0.0,0.5766,0.0,50.0,0.0,0.4465
split 3,0.0,50.0,0.0,0.5657,0.0,50.0,0.0,0.537
split 4,0.0,50.0,0.0,0.5632,0.0,50.0,0.0,0.4854
split 5,0.0,50.0,0.0,0.5498,0.0,50.0,0.0,0.5189
mean,0.35,50.07,13.65,0.5613,0.0,49.83,0.0,0.5099
std,0.77,0.15,30.53,0.0087,0.0,0.37,0.0,0.0351
