,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.4808,0.0,50.0,0.0,0.5762
split 1,0.0,50.0,0.0,0.4932,0.0,50.0,0.0,0.5539
split 2,0.0,50.0,0.0,0.5094,0.0,50.0,0.0,0.4688
split 3,0.0,50.0,0.0,0.4817,0.0,50.0,0.0,0.5574
split 4,0.0,50.0,0.0,0.4952,0.0,50.0,0.0,0.5221
split 5,0.0,50.0,0.0,0.4987,0.0,50.0,0.0,0.5096
mean,0.0,50.0,0.0,0.4932,0.0,50.0,0.0,0.5313
std,0.0,0.0,0.0,0.0098,0.0,0.0,0.0,0.0357
