,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.4885,0.0,50.0,0.0,0.5118
split 1,0.0,50.0,0.0,0.4913,0.0,50.0,0.0,0.5003
split 2,0.0,50.0,0.0,0.5141,0.0,50.0,0.0,0.4882
split 3,0.0,50.0,0.0,0.5011,0.0,50.0,0.0,0.4702
split 4,0.0,50.0,0.0,0.5005,0.0,50.0,0.0,0.5805
split 5,0.0,50.0,0.0,0.4893,0.0,50.0,0.0,0.5339
mean,0.0,50.0,0.0,0.4975,0.0,50.0,0.0,0.5141
std,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0356
