,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5465,0.0,50.0,0.0,0.5023
split 1,0.0,50.0,0.0,0.5454,0.0,50.0,0.0,0.5529
split 2,0.0,50.0,0.0,0.5514,0.0,50.0,0.0,0.5332
split 3,0.0,50.0,0.0,0.5322,0.0,50.0,0.0,0.4977
split 4,0.0,50.0,0.0,0.5318,0.0,50.0,0.0,0.511
split 5,0.0,50.0,0.0,0.5468,0.0,50.0,0.0,0.5149
mean,0.0,50.0,0.0,0.5423,0.0,50.0,0.0,0.5187
std,0.0,0.0,0.0,0.0076,0.0,0.0,0.0,0.019
