,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,21.4,50.91,2.84,10.43,35.04,46.11,34.42,60.45,43.46,0.5945,16.6,49.79,0.0,0.0,33.15,11.07,33.21,0.0,0.0,0.4969
split 1,21.34,50.61,4.83,8.59,34.81,44.02,34.22,57.33,40.51,0.5819,17.91,50.38,0.0,3.34,33.45,22.69,33.84,0.0,34.24,0.5534
split 2,22.55,50.91,11.12,5.62,35.48,44.64,34.48,56.75,42.69,0.5929,20.52,49.81,5.06,6.69,33.61,31.59,33.84,26.45,34.48,0.5201
split 3,18.63,50.44,1.51,3.95,34.07,44.0,33.8,51.7,46.49,0.5844,18.74,50.07,4.62,1.54,33.93,46.0,33.56,51.68,52.77,0.5492
split 4,22.12,50.82,2.43,13.12,35.26,46.99,34.45,60.61,45.9,0.5775,18.65,49.06,0.0,6.89,32.5,18.2,33.26,0.0,21.34,0.58
split 5,20.45,50.47,2.42,8.45,34.49,42.63,34.04,51.64,42.21,0.58,19.0,50.67,0.0,6.33,33.88,22.7,34.15,0.0,33.94,0.5545
mean,21.08,50.69,4.19,8.36,34.86,44.73,34.23,56.41,43.54,0.5852,18.57,49.96,1.61,4.13,33.42,25.38,33.64,13.02,29.46,0.5423
std,1.28,0.2,3.26,3.0,0.47,1.44,0.25,3.65,2.08,0.0064,1.18,0.51,2.29,2.69,0.49,11.07,0.34,19.8,16.05,0.0267
