,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5227,0.0,50.0,0.0,0.5049
split 1,0.0,50.0,0.0,0.5096,0.0,50.0,0.0,0.4463
split 2,0.0,50.0,0.0,0.5048,0.0,50.0,0.0,0.4876
split 3,0.0,50.0,0.0,0.5126,0.0,50.0,0.0,0.5185
split 4,0.0,50.0,0.0,0.4985,0.0,50.0,0.0,0.5321
split 5,0.0,50.0,0.0,0.5012,0.0,50.0,0.0,0.5002
mean,0.0,50.0,0.0,0.5082,0.0,50.0,0.0,0.4983
std,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0271
