,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.4945,0.0,50.0,0.0,0.4378
split 1,0.0,50.0,0.0,0.5149,0.0,50.0,0.0,0.4962
split 2,0.0,50.0,0.0,0.4845,0.0,50.0,0.0,0.4298
split 3,0.0,50.0,0.0,0.4969,0.0,50.0,0.0,0.4251
split 4,0.0,50.0,0.0,0.4691,0.0,50.0,0.0,0.5364
split 5,0.0,50.0,0.0,0.452,0.0,50.0,0.0,0.5725
mean,0.0,50.0,0.0,0.4853,0.0,50.0,0.0,0.483
std,0.0,0.0,0.0,0.0203,0.0,0.0,0.0,0.0567
