,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,33.78,51.1,20.13,30.11,39.63,45.58,36.58,50.4,49.77,0.6141,19.11,48.95,1.28,7.1,32.52,27.56,33.25,27.01,22.43,0.521
split 1,35.56,49.61,21.52,35.55,39.8,44.25,36.76,51.23,44.77,0.606,27.86,42.94,20.63,20.0,32.23,34.1,31.4,40.93,29.98,0.547
split 2,25.17,50.31,7.2,18.01,36.1,47.2,34.42,56.26,50.93,0.6001,22.27,47.34,1.35,18.13,32.35,28.35,33.09,23.08,28.88,0.5362
split 3,34.11,51.02,19.66,31.64,39.54,44.16,37.04,50.77,44.66,0.6096,31.92,45.8,21.09,28.87,36.33,41.74,33.03,41.34,50.85,0.5579
split 4,33.86,51.16,19.2,31.21,39.76,45.98,36.67,52.4,48.85,0.6115,20.98,46.26,2.15,14.52,31.02,24.08,32.21,12.68,27.33,0.4997
split 5,33.94,51.19,24.22,26.4,39.51,44.64,36.78,50.71,46.42,0.6082,26.35,45.38,12.65,21.01,32.76,33.13,32.39,27.31,39.7,0.5165
mean,32.74,50.73,18.66,28.82,39.06,45.3,36.37,51.96,47.57,0.6083,24.75,46.11,9.86,18.27,32.87,31.49,32.56,28.72,33.19,0.5297
std,3.44,0.58,5.38,5.53,1.33,1.08,0.89,2.03,2.43,0.0044,4.39,1.84,8.71,6.61,1.64,5.7,0.64,10.02,9.43,0.0195
