,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.6216,0.0,50.0,0.0,0.5162
split 1,0.0,50.0,0.0,0.6037,0.0,50.0,0.0,0.572
split 2,0.0,50.0,0.0,0.6224,0.0,50.0,0.0,0.5249
split 3,0.0,50.0,0.0,0.6304,0.0,50.0,0.0,0.4685
split 4,0.0,50.0,0.0,0.6085,0.0,50.0,0.0,0.5255
split 5,0.0,50.0,0.0,0.6123,0.0,50.0,0.0,0.5478
mean,0.0,50.0,0.0,0.6165,0.0,50.0,0.0,0.5258
std,0.0,0.0,0.0,0.0091,0.0,0.0,0.0,0.0316
