,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5504,0.0,50.0,0.0,0.5316
split 1,0.0,50.0,0.0,0.557,0.0,50.0,0.0,0.5606
split 2,0.0,50.0,0.0,0.5604,0.0,50.0,0.0,0.5114
split 3,0.0,50.0,0.0,0.5637,0.0,50.0,0.0,0.5198
split 4,0.0,50.0,0.0,0.5636,0.0,50.0,0.0,0.5003
split 5,0.0,50.0,0.0,0.5507,0.0,50.0,0.0,0.5311
mean,0.0,50.0,0.0,0.5576,0.0,50.0,0.0,0.5258
std,0.0,0.0,0.0,0.0055,0.0,0.0,0.0,0.019
