,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,33.29,50.04,26.75,23.08,38.07,39.8,36.72,42.93,39.73,0.5963,25.93,45.01,7.66,25.11,32.73,32.67,32.3,30.72,35.01,0.5263
split 1,25.01,50.18,8.37,16.47,35.79,45.17,34.38,55.22,45.92,0.5805,20.14,45.94,3.43,11.05,31.13,27.59,31.49,19.03,32.25,0.5287
split 2,27.31,49.73,2.35,29.85,36.85,46.44,34.71,56.71,47.92,0.5994,20.11,48.44,0.0,11.88,32.95,22.08,32.92,0.0,33.32,0.498
split 3,30.0,49.97,20.23,19.79,37.34,43.62,35.1,46.91,48.85,0.5947,23.98,44.65,16.06,11.22,30.69,28.04,32.08,27.16,24.87,0.4747
split 4,32.98,49.36,21.34,28.24,37.96,41.63,35.99,48.49,40.41,0.5913,29.4,31.99,27.22,28.98,29.72,31.44,27.71,38.92,27.7,0.4834
split 5,22.39,50.03,2.44,14.7,34.94,44.79,33.97,53.16,47.24,0.586,17.87,49.65,0.0,3.96,33.01,18.46,33.38,0.0,22.01,0.4973
mean,28.49,49.88,13.58,22.02,36.83,43.58,35.15,50.57,45.01,0.5914,22.9,44.28,9.06,15.37,31.7,26.71,31.65,19.31,29.19,0.5014
std,4.0,0.27,9.62,5.64,1.14,2.25,0.95,4.87,3.61,0.0064,3.94,5.78,9.8,8.74,1.26,5.0,1.86,14.85,4.7,0.0201
