,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5189,0.0,50.0,0.0,0.4617
split 1,0.0,50.0,0.0,0.5316,0.0,50.0,0.0,0.4724
split 2,0.0,50.0,0.0,0.5099,0.0,50.0,0.0,0.514
split 3,0.0,50.0,0.0,0.5209,0.0,50.0,0.0,0.507
split 4,0.0,50.0,0.0,0.5188,0.0,50.0,0.0,0.4189
split 5,0.0,50.0,0.0,0.5222,0.0,50.0,0.0,0.428
mean,0.0,50.0,0.0,0.5204,0.0,50.0,0.0,0.467
std,0.0,0.0,0.0,0.0064,0.0,0.0,0.0,0.0358
