,train F1,train c0 F1,train c1 F1,train c2 F1,train Acc,train precision,train c0 precision,train c1 precision,train c2 precision,train Auc,val F1,val c0 F1,val c1 F1,val c2 F1,val Acc,val precision,val c0 precision,val c1 precision,val c2 precision,val Auc
split 0,26.7,51.0,10.2,18.9,36.62,42.3,35.24,45.26,46.4,0.5972,24.48,43.57,3.61,26.26,31.75,30.15,31.19,24.38,34.89,0.5247
split 1,23.19,50.44,3.56,15.55,35.37,45.75,34.35,57.04,45.86,0.5886,25.9,49.41,16.36,11.94,35.45,44.56,34.09,67.83,31.76,0.5543
split 2,29.45,50.6,6.49,31.27,37.98,45.64,35.64,53.65,47.64,0.6005,22.19,48.71,2.53,15.34,33.08,28.52,33.72,21.54,30.3,0.5246
split 3,20.03,50.27,3.82,6.01,34.49,51.08,33.76,62.88,56.6,0.5984,18.03,49.72,2.88,1.5,33.33,33.31,33.34,32.91,33.67,0.4953
split 4,29.99,48.96,6.47,34.55,37.6,48.02,35.03,64.14,44.89,0.5928,21.46,46.55,0.0,17.84,31.5,19.75,32.64,0.0,26.61,0.5372
split 5,23.36,50.3,5.09,14.7,35.27,44.26,34.3,54.5,43.99,0.5864,25.57,49.75,11.48,15.47,36.0,49.23,34.01,61.79,51.89,0.5615
mean,25.45,50.26,5.94,20.16,36.22,46.18,34.72,56.24,47.56,0.594,22.94,47.95,6.14,14.73,33.52,34.25,33.17,34.74,34.85,0.5329
std,3.58,0.63,2.22,9.86,1.27,2.79,0.64,6.29,4.2,0.0052,2.74,2.24,5.79,7.37,1.7,9.93,1.01,23.52,8.06,0.0218
